Configuration 3:  

1 - 2 	 T:  0.8400000000000001
1 - 87 	 T:  0.8781976744186047
1 - 88 	 T:  0.8781034482758621
1 - 89 	 T:  0.878125
1 - 90 	 T:  0.8780337078651685
1 - 91 	 T:  0.8781666666666667
1 - 92 	 T:  0.878131868131868
1 - 93 	 T:  0.8780978260869565
1 - 94 	 T:  0.8780107526881721
1 - 95 	 T:  0.8779787234042553
1 - 96 	 T:  0.8782631578947369
1 - 97 	 T:  0.8776562499999999
1 - 98 	 T:  0.8780412371134021
1 - 99 	 T:  0.8780102040816327
1 - 100 	 T:  0.877979797979798
1 - 101 	 T:  0.87795
1 - 102 	 T:  0.877970297029703
1 - 103 	 T:  0.8779901960784313
1 - 104 	 T:  0.8778155339805824
1 - 105 	 T:  0.8778365384615385
1 - 106 	 T:  0.878
1 - 107 	 T:  0.8779245283018868
1 - 108 	 T:  0.8779906542056074
1 - 109 	 T:  0.877962962962963
1 - 110 	 T:  0.8779816513761468
1 - 111 	 T:  0.8777727272727273
1 - 112 	 T:  0.8778378378378379
1 - 113 	 T:  0.8779017857142858
1 - 114 	 T:  0.8780088495575221
2 - 3 	 T:  0.9199999999999999
2 - 4 	 T:  0.8899999999999999
2 - 5 	 T:  0.8916666666666666
2 - 6 	 T:  0.885
2 - 7 	 T:  0.8869999999999999
2 - 8 	 T:  0.8858333333333333
2 - 9 	 T:  0.8857142857142858
2 - 10 	 T:  0.884375
2 - 11 	 T:  0.8833333333333333
2 - 12 	 T:  0.8829999999999998
2 - 13 	 T:  0.8822727272727271
2 - 14 	 T:  0.8820833333333334
2 - 15 	 T:  0.8823076923076922
2 - 16 	 T:  0.8821428571428572
2 - 17 	 T:  0.8813333333333333
2 - 18 	 T:  0.8812500000000001
2 - 19 	 T:  0.8814705882352941
2 - 20 	 T:  0.8811111111111111
2 - 21 	 T:  0.8810526315789473
2 - 22 	 T:  0.8805
2 - 23 	 T:  0.8809523809523809
2 - 24 	 T:  0.8806818181818182
2 - 25 	 T:  0.8808695652173912
2 - 26 	 T:  0.8806249999999999
2 - 27 	 T:  0.8804
2 - 28 	 T:  0.8803846153846154
2 - 29 	 T:  0.8799999999999999
2 - 30 	 T:  0.8803571428571428
2 - 31 	 T:  0.8801724137931034
2 - 32 	 T:  0.8801666666666665
2 - 33 	 T:  0.8799999999999999
2 - 34 	 T:  0.88
2 - 35 	 T:  0.8796969696969696
2 - 36 	 T:  0.8798529411764706
2 - 37 	 T:  0.88
2 - 38 	 T:  0.8797222222222222
2 - 39 	 T:  0.8797297297297298
2 - 40 	 T:  0.8797368421052632
2 - 41 	 T:  0.8797435897435898
2 - 42 	 T:  0.8796250000000001
2 - 43 	 T:  0.8804878048780488
2 - 44 	 T:  0.8796428571428572
2 - 45 	 T:  0.8793023255813954
2 - 46 	 T:  0.8794318181818181
2 - 47 	 T:  0.8782222222222222
2 - 48 	 T:  0.8792391304347826
2 - 49 	 T:  0.8793617021276597
2 - 50 	 T:  0.8792708333333334
2 - 51 	 T:  0.8785714285714287
2 - 52 	 T:  0.8797
2 - 53 	 T:  0.8793137254901962
2 - 54 	 T:  0.8793269230769231
2 - 55 	 T:  0.8786792452830189
2 - 56 	 T:  0.8792592592592593
2 - 57 	 T:  0.8790909090909091
2 - 58 	 T:  0.8791964285714285
2 - 59 	 T:  0.8782456140350877
2 - 60 	 T:  0.8785344827586208
2 - 61 	 T:  0.8793220338983051
2 - 62 	 T:  0.8790833333333334
2 - 63 	 T:  0.8782786885245902
2 - 64 	 T:  0.8789516129032259
2 - 65 	 T:  0.8783333333333333
2 - 66 	 T:  0.878984375
2 - 67 	 T:  0.8785384615384616
2 - 68 	 T:  0.8787121212121213
2 - 69 	 T:  0.8788805970149255
2 - 70 	 T:  0.8788970588235294
2 - 71 	 T:  0.8776086956521739
2 - 72 	 T:  0.8787142857142858
2 - 73 	 T:  0.8788732394366198
2 - 74 	 T:  0.8775694444444446
2 - 75 	 T:  0.8776027397260273
2 - 76 	 T:  0.8787837837837837
2 - 77 	 T:  0.8785999999999999
2 - 78 	 T:  0.8778947368421053
2 - 79 	 T:  0.8778571428571429
2 - 80 	 T:  0.8787179487179486
2 - 81 	 T:  0.8787341772151899
2 - 82 	 T:  0.8786875000000001
2 - 83 	 T:  0.878641975308642
2 - 84 	 T:  0.8787195121951219
2 - 85 	 T:  0.8786144578313253
2 - 86 	 T:  0.8784523809523809
2 - 87 	 T:  0.8786470588235294
2 - 88 	 T:  0.8785465116279069
2 - 89 	 T:  0.8785632183908046
2 - 90 	 T:  0.878465909090909
2 - 91 	 T:  0.8785955056179775
2 - 92 	 T:  0.8785555555555555
2 - 93 	 T:  0.8785164835164835
2 - 94 	 T:  0.8784239130434782
2 - 95 	 T:  0.8783870967741936
2 - 96 	 T:  0.8786702127659575
2 - 97 	 T:  0.8780526315789473
2 - 98 	 T:  0.8784375
2 - 99 	 T:  0.87840206185567
2 - 100 	 T:  0.8783673469387755
2 - 101 	 T:  0.8783333333333333
2 - 102 	 T:  0.87835
2 - 103 	 T:  0.8783663366336633
2 - 104 	 T:  0.8781862745098038
2 - 105 	 T:  0.8782038834951457
2 - 106 	 T:  0.8783653846153846
2 - 107 	 T:  0.8782857142857142
2 - 108 	 T:  0.8783490566037735
2 - 109 	 T:  0.8783177570093457
2 - 110 	 T:  0.8783333333333333
2 - 111 	 T:  0.8781192660550458
2 - 112 	 T:  0.8781818181818182
2 - 113 	 T:  0.8782432432432432
2 - 114 	 T:  0.8783482142857143
3 - 4 	 T:  0.8599999999999999
3 - 5 	 T:  0.8775
3 - 6 	 T:  0.8733333333333334
3 - 7 	 T:  0.8787499999999999
3 - 8 	 T:  0.8789999999999999
3 - 9 	 T:  0.88
3 - 10 	 T:  0.8792857142857143
3 - 11 	 T:  0.87875
3 - 12 	 T:  0.8788888888888888
3 - 13 	 T:  0.8785000000000001
3 - 14 	 T:  0.8786363636363635
3 - 15 	 T:  0.8791666666666668
3 - 16 	 T:  0.8792307692307693
3 - 17 	 T:  0.8785714285714287
3 - 18 	 T:  0.8786666666666666
3 - 19 	 T:  0.8790625000000001
3 - 20 	 T:  0.8788235294117648
3 - 21 	 T:  0.8788888888888889
3 - 22 	 T:  0.878421052631579
3 - 23 	 T:  0.8790000000000001
3 - 24 	 T:  0.8788095238095239
3 - 25 	 T:  0.879090909090909
3 - 26 	 T:  0.8789130434782608
3 - 27 	 T:  0.87875
3 - 28 	 T:  0.8788000000000001
3 - 29 	 T:  0.8784615384615384
3 - 30 	 T:  0.8788888888888889
3 - 31 	 T:  0.87875
3 - 32 	 T:  0.8787931034482759
3 - 33 	 T:  0.8786666666666666
3 - 34 	 T:  0.8787096774193549
3 - 35 	 T:  0.8784375
3 - 36 	 T:  0.8786363636363637
3 - 37 	 T:  0.8788235294117648
3 - 38 	 T:  0.8785714285714286
3 - 39 	 T:  0.8786111111111112
3 - 40 	 T:  0.8786486486486486
3 - 41 	 T:  0.8786842105263158
3 - 42 	 T:  0.8785897435897436
3 - 43 	 T:  0.8795
3 - 44 	 T:  0.8786585365853659
3 - 45 	 T:  0.8783333333333333
3 - 46 	 T:  0.8784883720930232
3 - 47 	 T:  0.8772727272727273
3 - 48 	 T:  0.8783333333333333
3 - 49 	 T:  0.8784782608695653
3 - 50 	 T:  0.878404255319149
3 - 51 	 T:  0.8777083333333334
3 - 52 	 T:  0.8788775510204081
3 - 53 	 T:  0.8785000000000001
3 - 54 	 T:  0.8785294117647059
3 - 55 	 T:  0.8778846153846154
3 - 56 	 T:  0.8784905660377359
3 - 57 	 T:  0.8783333333333333
3 - 58 	 T:  0.8784545454545454
3 - 59 	 T:  0.8775000000000001
3 - 60 	 T:  0.8778070175438597
3 - 61 	 T:  0.8786206896551725
3 - 62 	 T:  0.8783898305084746
3 - 63 	 T:  0.8775833333333334
3 - 64 	 T:  0.8782786885245902
3 - 65 	 T:  0.8776612903225807
3 - 66 	 T:  0.8783333333333333
3 - 67 	 T:  0.877890625
3 - 68 	 T:  0.8780769230769231
3 - 69 	 T:  0.8782575757575758
3 - 70 	 T:  0.8782835820895523
3 - 71 	 T:  0.876985294117647
3 - 72 	 T:  0.8781159420289856
3 - 73 	 T:  0.8782857142857143
3 - 74 	 T:  0.8769718309859156
3 - 75 	 T:  0.877013888888889
3 - 76 	 T:  0.8782191780821917
3 - 77 	 T:  0.8780405405405405
3 - 78 	 T:  0.8773333333333333
3 - 79 	 T:  0.8773026315789473
3 - 80 	 T:  0.8781818181818181
3 - 81 	 T:  0.8782051282051282
3 - 82 	 T:  0.8781645569620253
3 - 83 	 T:  0.878125
3 - 84 	 T:  0.8782098765432098
3 - 85 	 T:  0.8781097560975609
3 - 86 	 T:  0.8779518072289155
3 - 87 	 T:  0.8781547619047619
3 - 88 	 T:  0.8780588235294117
3 - 89 	 T:  0.8780813953488372
3 - 90 	 T:  0.8779885057471263
3 - 91 	 T:  0.8781249999999999
3 - 92 	 T:  0.8780898876404494
3 - 93 	 T:  0.8780555555555555
3 - 94 	 T:  0.8779670329670329
3 - 95 	 T:  0.8779347826086956
3 - 96 	 T:  0.8782258064516129
3 - 97 	 T:  0.8776063829787233
3 - 98 	 T:  0.878
3 - 99 	 T:  0.87796875
3 - 100 	 T:  0.8779381443298969
3 - 101 	 T:  0.8779081632653061
3 - 102 	 T:  0.8779292929292929
3 - 103 	 T:  0.8779499999999999
3 - 104 	 T:  0.8777722772277227
3 - 105 	 T:  0.8777941176470588
3 - 106 	 T:  0.8779611650485436
3 - 107 	 T:  0.8778846153846154
3 - 108 	 T:  0.8779523809523808
3 - 109 	 T:  0.8779245283018867
3 - 110 	 T:  0.8779439252336448
3 - 111 	 T:  0.8777314814814814
3 - 112 	 T:  0.8777981651376147
3 - 113 	 T:  0.8778636363636363
3 - 114 	 T:  0.8779729729729729
4 - 5 	 T:  0.895
4 - 6 	 T:  0.8800000000000001
4 - 7 	 T:  0.8849999999999999
4 - 8 	 T:  0.8837499999999999
4 - 9 	 T:  0.884
4 - 10 	 T:  0.8825
4 - 11 	 T:  0.8814285714285715
4 - 12 	 T:  0.8812499999999999
4 - 13 	 T:  0.8805555555555554
4 - 14 	 T:  0.8805
4 - 15 	 T:  0.8809090909090909
4 - 16 	 T:  0.8808333333333334
4 - 17 	 T:  0.88
4 - 18 	 T:  0.88
4 - 19 	 T:  0.8803333333333333
4 - 20 	 T:  0.88
4 - 21 	 T:  0.8799999999999999
4 - 22 	 T:  0.8794444444444445
4 - 23 	 T:  0.8800000000000001
4 - 24 	 T:  0.8797500000000001
4 - 25 	 T:  0.88
4 - 26 	 T:  0.8797727272727273
4 - 27 	 T:  0.8795652173913043
4 - 28 	 T:  0.8795833333333335
4 - 29 	 T:  0.8792
4 - 30 	 T:  0.8796153846153847
4 - 31 	 T:  0.8794444444444445
4 - 32 	 T:  0.8794642857142857
4 - 33 	 T:  0.8793103448275862
4 - 34 	 T:  0.8793333333333334
4 - 35 	 T:  0.8790322580645161
4 - 36 	 T:  0.87921875
4 - 37 	 T:  0.8793939393939395
4 - 38 	 T:  0.8791176470588236
4 - 39 	 T:  0.8791428571428572
4 - 40 	 T:  0.8791666666666667
4 - 41 	 T:  0.8791891891891892
4 - 42 	 T:  0.8790789473684211
4 - 43 	 T:  0.88
4 - 44 	 T:  0.8791249999999999
4 - 45 	 T:  0.878780487804878
4 - 46 	 T:  0.8789285714285714
4 - 47 	 T:  0.8776744186046512
4 - 48 	 T:  0.87875
4 - 49 	 T:  0.8788888888888889
4 - 50 	 T:  0.8788043478260871
4 - 51 	 T:  0.8780851063829788
4 - 52 	 T:  0.8792708333333333
4 - 53 	 T:  0.8788775510204082
4 - 54 	 T:  0.8789
4 - 55 	 T:  0.878235294117647
4 - 56 	 T:  0.8788461538461539
4 - 57 	 T:  0.8786792452830189
4 - 58 	 T:  0.8787962962962963
4 - 59 	 T:  0.8778181818181818
4 - 60 	 T:  0.878125
4 - 61 	 T:  0.8789473684210527
4 - 62 	 T:  0.8787068965517242
4 - 63 	 T:  0.8778813559322034
4 - 64 	 T:  0.8785833333333334
4 - 65 	 T:  0.8779508196721312
4 - 66 	 T:  0.8786290322580645
4 - 67 	 T:  0.8781746031746033
4 - 68 	 T:  0.878359375
4 - 69 	 T:  0.8785384615384616
4 - 70 	 T:  0.878560606060606
4 - 71 	 T:  0.8772388059701492
4 - 72 	 T:  0.8783823529411765
4 - 73 	 T:  0.8785507246376812
4 - 74 	 T:  0.8772142857142858
4 - 75 	 T:  0.8772535211267606
4 - 76 	 T:  0.8784722222222223
4 - 77 	 T:  0.8782876712328767
4 - 78 	 T:  0.8775675675675675
4 - 79 	 T:  0.8775333333333333
4 - 80 	 T:  0.8784210526315789
4 - 81 	 T:  0.8784415584415585
4 - 82 	 T:  0.8783974358974359
4 - 83 	 T:  0.8783544303797468
4 - 84 	 T:  0.8784374999999999
4 - 85 	 T:  0.8783333333333333
4 - 86 	 T:  0.878170731707317
4 - 87 	 T:  0.8783734939759036
4 - 88 	 T:  0.8782738095238094
4 - 89 	 T:  0.8782941176470589
4 - 90 	 T:  0.8781976744186045
4 - 91 	 T:  0.8783333333333332
4 - 92 	 T:  0.8782954545454544
4 - 93 	 T:  0.8782584269662921
4 - 94 	 T:  0.8781666666666667
4 - 95 	 T:  0.878131868131868
4 - 96 	 T:  0.8784239130434782
4 - 97 	 T:  0.8777956989247311
4 - 98 	 T:  0.8781914893617021
4 - 99 	 T:  0.878157894736842
4 - 100 	 T:  0.8781249999999999
4 - 101 	 T:  0.8780927835051546
4 - 102 	 T:  0.8781122448979591
4 - 103 	 T:  0.878131313131313
4 - 104 	 T:  0.8779499999999999
4 - 105 	 T:  0.877970297029703
4 - 106 	 T:  0.8781372549019607
4 - 107 	 T:  0.8780582524271845
4 - 108 	 T:  0.8781249999999999
4 - 109 	 T:  0.878095238095238
4 - 110 	 T:  0.8781132075471698
4 - 111 	 T:  0.8778971962616822
4 - 112 	 T:  0.877962962962963
4 - 113 	 T:  0.8780275229357798
4 - 114 	 T:  0.8781363636363636
5 - 6 	 T:  0.8650000000000002
5 - 7 	 T:  0.8799999999999999
5 - 8 	 T:  0.8799999999999999
5 - 9 	 T:  0.8812500000000001
5 - 10 	 T:  0.8800000000000001
5 - 11 	 T:  0.8791666666666668
5 - 12 	 T:  0.8792857142857142
5 - 13 	 T:  0.8787499999999999
5 - 14 	 T:  0.8788888888888889
5 - 15 	 T:  0.8795
5 - 16 	 T:  0.8795454545454546
5 - 17 	 T:  0.87875
5 - 18 	 T:  0.8788461538461539
5 - 19 	 T:  0.8792857142857143
5 - 20 	 T:  0.879
5 - 21 	 T:  0.8790625
5 - 22 	 T:  0.8785294117647059
5 - 23 	 T:  0.8791666666666668
5 - 24 	 T:  0.8789473684210528
5 - 25 	 T:  0.8792500000000001
5 - 26 	 T:  0.8790476190476191
5 - 27 	 T:  0.8788636363636364
5 - 28 	 T:  0.878913043478261
5 - 29 	 T:  0.8785416666666667
5 - 30 	 T:  0.879
5 - 31 	 T:  0.8788461538461539
5 - 32 	 T:  0.8788888888888887
5 - 33 	 T:  0.8787499999999999
5 - 34 	 T:  0.8787931034482759
5 - 35 	 T:  0.8785
5 - 36 	 T:  0.8787096774193549
5 - 37 	 T:  0.87890625
5 - 38 	 T:  0.8786363636363635
5 - 39 	 T:  0.8786764705882353
5 - 40 	 T:  0.8787142857142856
5 - 41 	 T:  0.8787499999999999
5 - 42 	 T:  0.8786486486486486
5 - 43 	 T:  0.8796052631578947
5 - 44 	 T:  0.8787179487179486
5 - 45 	 T:  0.8783749999999999
5 - 46 	 T:  0.8785365853658536
5 - 47 	 T:  0.8772619047619047
5 - 48 	 T:  0.8783720930232557
5 - 49 	 T:  0.8785227272727273
5 - 50 	 T:  0.8784444444444445
5 - 51 	 T:  0.8777173913043478
5 - 52 	 T:  0.8789361702127658
5 - 53 	 T:  0.8785416666666667
5 - 54 	 T:  0.8785714285714286
5 - 55 	 T:  0.8778999999999999
5 - 56 	 T:  0.8785294117647059
5 - 57 	 T:  0.8783653846153846
5 - 58 	 T:  0.8784905660377358
5 - 59 	 T:  0.8775
5 - 60 	 T:  0.8778181818181818
5 - 61 	 T:  0.8786607142857142
5 - 62 	 T:  0.878421052631579
5 - 63 	 T:  0.8775862068965516
5 - 64 	 T:  0.8783050847457627
5 - 65 	 T:  0.8776666666666666
5 - 66 	 T:  0.8783606557377049
5 - 67 	 T:  0.8779032258064516
5 - 68 	 T:  0.8780952380952382
5 - 69 	 T:  0.87828125
5 - 70 	 T:  0.8783076923076922
5 - 71 	 T:  0.876969696969697
5 - 72 	 T:  0.8781343283582089
5 - 73 	 T:  0.8783088235294118
5 - 74 	 T:  0.8769565217391305
5 - 75 	 T:  0.877
5 - 76 	 T:  0.8782394366197184
5 - 77 	 T:  0.8780555555555556
5 - 78 	 T:  0.8773287671232877
5 - 79 	 T:  0.8772972972972973
5 - 80 	 T:  0.8782
5 - 81 	 T:  0.8782236842105263
5 - 82 	 T:  0.8781818181818183
5 - 83 	 T:  0.8781410256410257
5 - 84 	 T:  0.8782278481012658
5 - 85 	 T:  0.878125
5 - 86 	 T:  0.877962962962963
5 - 87 	 T:  0.8781707317073172
5 - 88 	 T:  0.8780722891566265
5 - 89 	 T:  0.8780952380952382
5 - 90 	 T:  0.8779999999999999
5 - 91 	 T:  0.8781395348837209
5 - 92 	 T:  0.8781034482758621
5 - 93 	 T:  0.8780681818181818
5 - 94 	 T:  0.8779775280898876
5 - 95 	 T:  0.8779444444444444
5 - 96 	 T:  0.8782417582417582
5 - 97 	 T:  0.8776086956521738
5 - 98 	 T:  0.8780107526881721
5 - 99 	 T:  0.8779787234042553
5 - 100 	 T:  0.8779473684210527
5 - 101 	 T:  0.8779166666666667
5 - 102 	 T:  0.8779381443298969
5 - 103 	 T:  0.8779591836734693
5 - 104 	 T:  0.8777777777777777
5 - 105 	 T:  0.8778
5 - 106 	 T:  0.877970297029703
5 - 107 	 T:  0.8778921568627451
5 - 108 	 T:  0.8779611650485436
5 - 109 	 T:  0.8779326923076922
5 - 110 	 T:  0.8779523809523809
5 - 111 	 T:  0.8777358490566037
5 - 112 	 T:  0.8778037383177569
5 - 113 	 T:  0.8778703703703704
5 - 114 	 T:  0.8779816513761468
6 - 7 	 T:  0.8949999999999996
6 - 8 	 T:  0.8874999999999997
6 - 9 	 T:  0.8866666666666667
6 - 10 	 T:  0.88375
6 - 11 	 T:  0.882
6 - 12 	 T:  0.8816666666666665
6 - 13 	 T:  0.8807142857142856
6 - 14 	 T:  0.880625
6 - 15 	 T:  0.8811111111111111
6 - 16 	 T:  0.881
6 - 17 	 T:  0.88
6 - 18 	 T:  0.88
6 - 19 	 T:  0.8803846153846154
6 - 20 	 T:  0.88
6 - 21 	 T:  0.88
6 - 22 	 T:  0.879375
6 - 23 	 T:  0.88
6 - 24 	 T:  0.8797222222222223
6 - 25 	 T:  0.8799999999999999
6 - 26 	 T:  0.8797499999999999
6 - 27 	 T:  0.8795238095238095
6 - 28 	 T:  0.8795454545454546
6 - 29 	 T:  0.8791304347826087
6 - 30 	 T:  0.8795833333333333
6 - 31 	 T:  0.8794
6 - 32 	 T:  0.8794230769230769
6 - 33 	 T:  0.8792592592592592
6 - 34 	 T:  0.8792857142857143
6 - 35 	 T:  0.8789655172413793
6 - 36 	 T:  0.8791666666666667
6 - 37 	 T:  0.8793548387096775
6 - 38 	 T:  0.8790625
6 - 39 	 T:  0.8790909090909091
6 - 40 	 T:  0.8791176470588234
6 - 41 	 T:  0.8791428571428571
6 - 42 	 T:  0.8790277777777777
6 - 43 	 T:  0.8800000000000001
6 - 44 	 T:  0.8790789473684211
6 - 45 	 T:  0.8787179487179486
6 - 46 	 T:  0.8788750000000001
6 - 47 	 T:  0.8775609756097562
6 - 48 	 T:  0.8786904761904762
6 - 49 	 T:  0.8788372093023257
6 - 50 	 T:  0.8787500000000001
6 - 51 	 T:  0.8780000000000001
6 - 52 	 T:  0.8792391304347824
6 - 53 	 T:  0.8788297872340427
6 - 54 	 T:  0.8788541666666667
6 - 55 	 T:  0.8781632653061224
6 - 56 	 T:  0.8787999999999999
6 - 57 	 T:  0.8786274509803922
6 - 58 	 T:  0.8787499999999999
6 - 59 	 T:  0.8777358490566037
6 - 60 	 T:  0.8780555555555557
6 - 61 	 T:  0.878909090909091
6 - 62 	 T:  0.8786607142857142
6 - 63 	 T:  0.8778070175438596
6 - 64 	 T:  0.8785344827586207
6 - 65 	 T:  0.8778813559322034
6 - 66 	 T:  0.8785833333333334
6 - 67 	 T:  0.8781147540983606
6 - 68 	 T:  0.8783064516129032
6 - 69 	 T:  0.8784920634920634
6 - 70 	 T:  0.8785156249999999
6 - 71 	 T:  0.8771538461538462
6 - 72 	 T:  0.8783333333333333
6 - 73 	 T:  0.8785074626865672
6 - 74 	 T:  0.8771323529411766
6 - 75 	 T:  0.8771739130434784
6 - 76 	 T:  0.8784285714285716
6 - 77 	 T:  0.8782394366197184
6 - 78 	 T:  0.8775000000000001
6 - 79 	 T:  0.8774657534246576
6 - 80 	 T:  0.8783783783783784
6 - 81 	 T:  0.8784000000000002
6 - 82 	 T:  0.8783552631578949
6 - 83 	 T:  0.8783116883116885
6 - 84 	 T:  0.8783974358974359
6 - 85 	 T:  0.8782911392405064
6 - 86 	 T:  0.878125
6 - 87 	 T:  0.8783333333333334
6 - 88 	 T:  0.8782317073170732
6 - 89 	 T:  0.878253012048193
6 - 90 	 T:  0.8781547619047619
6 - 91 	 T:  0.8782941176470589
6 - 92 	 T:  0.8782558139534884
6 - 93 	 T:  0.8782183908045977
6 - 94 	 T:  0.878125
6 - 95 	 T:  0.8780898876404495
6 - 96 	 T:  0.878388888888889
6 - 97 	 T:  0.8777472527472527
6 - 98 	 T:  0.8781521739130436
6 - 99 	 T:  0.8781182795698925
6 - 100 	 T:  0.8780851063829788
6 - 101 	 T:  0.8780526315789474
6 - 102 	 T:  0.8780729166666666
6 - 103 	 T:  0.8780927835051546
6 - 104 	 T:  0.8779081632653061
6 - 105 	 T:  0.877929292929293
6 - 106 	 T:  0.8781
6 - 107 	 T:  0.8780198019801981
6 - 108 	 T:  0.8780882352941176
6 - 109 	 T:  0.8780582524271845
6 - 110 	 T:  0.8780769230769232
6 - 111 	 T:  0.8778571428571428
6 - 112 	 T:  0.8779245283018868
6 - 113 	 T:  0.8779906542056075
6 - 114 	 T:  0.878101851851852
7 - 8 	 T:  0.8799999999999999
7 - 9 	 T:  0.8825000000000003
7 - 10 	 T:  0.8800000000000002
7 - 11 	 T:  0.8787500000000001
7 - 12 	 T:  0.8789999999999999
7 - 13 	 T:  0.8783333333333333
7 - 14 	 T:  0.8785714285714287
7 - 15 	 T:  0.879375
7 - 16 	 T:  0.8794444444444446
7 - 17 	 T:  0.8785000000000001
7 - 18 	 T:  0.8786363636363638
7 - 19 	 T:  0.8791666666666668
7 - 20 	 T:  0.8788461538461539
7 - 21 	 T:  0.8789285714285714
7 - 22 	 T:  0.8783333333333334
7 - 23 	 T:  0.8790625000000001
7 - 24 	 T:  0.8788235294117648
7 - 25 	 T:  0.8791666666666667
7 - 26 	 T:  0.8789473684210526
7 - 27 	 T:  0.8787499999999999
7 - 28 	 T:  0.8788095238095239
7 - 29 	 T:  0.8784090909090909
7 - 30 	 T:  0.8789130434782608
7 - 31 	 T:  0.87875
7 - 32 	 T:  0.8787999999999999
7 - 33 	 T:  0.8786538461538461
7 - 34 	 T:  0.8787037037037038
7 - 35 	 T:  0.8783928571428571
7 - 36 	 T:  0.8786206896551725
7 - 37 	 T:  0.8788333333333334
7 - 38 	 T:  0.8785483870967742
7 - 39 	 T:  0.8785937500000001
7 - 40 	 T:  0.8786363636363635
7 - 41 	 T:  0.8786764705882353
7 - 42 	 T:  0.8785714285714286
7 - 43 	 T:  0.8795833333333333
7 - 44 	 T:  0.8786486486486486
7 - 45 	 T:  0.8782894736842105
7 - 46 	 T:  0.8784615384615384
7 - 47 	 T:  0.877125
7 - 48 	 T:  0.8782926829268293
7 - 49 	 T:  0.878452380952381
7 - 50 	 T:  0.8783720930232559
7 - 51 	 T:  0.8776136363636364
7 - 52 	 T:  0.8788888888888888
7 - 53 	 T:  0.8784782608695653
7 - 54 	 T:  0.8785106382978723
7 - 55 	 T:  0.8778125
7 - 56 	 T:  0.8784693877551021
7 - 57 	 T:  0.8783
7 - 58 	 T:  0.8784313725490196
7 - 59 	 T:  0.8774038461538461
7 - 60 	 T:  0.8777358490566038
